Wavelength,DsRed2 (EX),DsRed2 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),KO (EX),KO (EM),iRFP713 (EX),iRFP713 (EM),iRFP720 (EX),iRFP720 (EM),mOrange (EX),mOrange (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM),mScarlet (EX),mScarlet (EM),mCherry (EX),mCherry (EM),tdTomato (EX),tdTomato (EM)
370,0.0397,0.0,0.9127,0.0,0.1103,0.0,0.0137,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,0.0,0.0,0.0,0.057999999999999996,0.0,0.07662839999999999,0.0,0.0799492,0.0,0.032805400000000005,0.0
371,0.0382,0.0,0.8954,0.0,0.1156,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.0,0.0,0.0,0.057999999999999996,0.0,0.0727969,0.0,0.0799492,0.0,0.0316742,0.0
372,0.0355,0.0,0.8905,0.0,0.1198,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.057999999999999996,0.0,0.0715198,0.0,0.07868019999999999,0.0,0.030543,0.0
373,0.0338,0.0,0.8473,0.0,0.1248,0.0,0.0114,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.057999999999999996,0.0,0.0676884,0.0,0.0799492,0.0,0.029411800000000002,0.0
374,0.0325,0.0,0.8129,0.0,0.1306,0.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.011000000000000001,0.0,0.0,0.0,0.057,0.0,0.063857,0.0,0.0761421,0.0,0.029411800000000002,0.0
375,0.0296,0.0,0.7864,0.0,0.1374,0.0,0.0092,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.057,0.0,0.061302699999999995,0.0,0.0761421,0.0,0.029411800000000002,0.0
376,0.0284,0.0,0.7477,0.0,0.1431,0.0,0.0087,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.054000000000000006,0.0,0.0600255,0.0,0.07487310000000001,0.0,0.0282805,0.0
377,0.0285,0.0,0.7029,0.0,0.1512,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.053,0.0,0.056194100000000004,0.0,0.07487310000000001,0.0,0.029411800000000002,0.0
378,0.0285,0.0,0.6709999999999999,0.0,0.1576,0.0,0.0071,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.0,0.051,0.0,0.054917,0.0,0.072335,0.0,0.027149299999999998,0.0
379,0.0285,0.0,0.6406,0.0,0.1666,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.049,0.0,0.05236269999999999,0.0,0.072335,0.0,0.027149299999999998,0.0
380,0.0285,0.0,0.6164,0.0,0.1741,0.0,0.0061,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.046,0.0,0.051085599999999995,0.0,0.069797,0.0,0.027149299999999998,0.0
381,0.0285,0.0,0.5923,0.0264,0.1823,0.0,0.0054,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.044000000000000004,0.0,0.0485313,0.0,0.069797,0.0,0.0260181,0.0
382,0.0285,0.0,0.5693,0.0374,0.1912,0.0,0.0049,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.040999999999999995,0.0,0.0472541,0.0,0.0659898,0.0,0.0260181,0.0
383,0.0285,0.0,0.5491,0.0485,0.2008,0.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.037000000000000005,0.0,0.0446999,0.0,0.0647208,0.0,0.0260181,0.0
384,0.0285,0.0,0.5288,0.0595,0.2098,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.034,0.0,0.0434227,0.0,0.062182699999999994,0.0,0.0260181,0.0
385,0.0285,0.0,0.5083,0.0781,0.2192,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.031,0.0,0.0421456,0.0,0.059644699999999995,0.0,0.0237557,0.0
386,0.0283,0.0,0.4875,0.102,0.2304,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.027999999999999997,0.0,0.0395913,0.0,0.0583756,0.0,0.022624400000000003,0.0
