Wavelength,mCherry (EX),mCherry (EM),mOrange (EX),mOrange (EM),DsRed2 (EX),DsRed2 (EM),iRFP713 (EX),iRFP713 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),KO (EX),KO (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM),tdTomato (EX),tdTomato (EM),iRFP720 (EX),iRFP720 (EM),mScarlet (EX),mScarlet (EM)
471,0.0356,,0.1072,,0.168,,,,,0.5092,0.3787,0.8914,0.0953,,0.0355,,0.0492,,0.191,,,,0.0718,
472,0.0377,,0.1136,,0.1737,,,,,0.4948,0.34,0.9304,0.099,,0.0373,,0.0521,,0.1974,,,,0.0744,
473,0.0389,,0.1176,,0.1778,,,,,0.4811,0.3043,0.9588,0.1041,,0.0386,,0.0545,,0.2016,,,,0.0772,
474,0.0405,,0.1223,,0.1806,,,,,0.4682,0.2721,0.9707,0.1087,,0.0398,,0.0568,,0.2062,,,,0.0801,
475,0.0424,,0.1286,,0.1855,,,,,0.4553,0.2425,0.9946,0.1127,,0.0418,,0.0616,,0.2139,,,,0.0832,
476,0.0444,,0.1338,,0.1914,,,,,0.4424,0.2168,0.9966,0.118,,0.0431,,0.0641,,0.22,,,,0.0864,
477,0.0463,,0.139,,0.1971,,,,,0.4306,0.1933,1,0.1226,,0.0455,,0.0681,,0.2253,,,,0.09,
478,0.0492,,0.1436,,0.2029,,,,,0.4188,0.1725,0.9929,0.1288,,0.0472,,0.0698,,0.2309,,,,0.0937,
479,0.0504,,0.1489,,0.2087,,,,,0.4069,0.1551,0.9857,0.1358,,0.0495,,0.0733,,0.2361,,,,0.0979,
480,0.053,,0.1534,,0.2142,,,,,0.3967,0.1382,0.9683,0.141,,0.0512,,0.0767,,0.2407,,,,0.1023,
481,0.0556,,0.1572,,0.2199,,,,,0.3894,0.1236,0.9527,0.1458,,0.0538,,0.08,,0.2446,,,,0.1072,
482,0.0581,,0.1618,,0.2257,,,,,0.3822,0.1108,0.9367,0.1513,,0.0559,,0.0838,,0.248,,,,0.1124,
483,0.061,,0.1667,,0.2314,,,,,0.3749,0.099,0.9205,0.1572,,0.0583,,0.0873,,0.2524,,,,0.118,
484,0.0633,,0.171,,0.2366,,,,,0.3677,0.0885,0.9057,0.1639,,0.0606,,0.0909,,0.2566,,,,0.1239,
485,0.0663,,0.1767,,0.2413,,,,,0.3597,0.0789,0.8959,0.1693,,0.064,,0.0941,,0.2601,,,,0.13,
486,0.0694,,0.1828,,0.2476,,,,,0.3504,0.07,0.8834,0.1771,,0.0657,,0.0985,,0.2637,,,,0.1363,
487,0.0726,,0.1883,,0.2551,,,,,0.3412,0.0614,0.8749,0.1848,,0.0693,,0.102,,0.2677,,,,0.1426,
488,0.0762,,0.1956,,0.2622,,,,,0.3319,0.054,0.8677,0.1927,,0.0721,,0.1065,,0.2715,,,,0.149,
489,0.0808,,0.2021,,0.2703,,,,,0.3227,0.0476,0.8586,0.2026,,0.0755,,0.1114,,0.2751,,,,0.1551,
490,0.0841,,0.21,,0.2789,,,,,0.3139,0.042,0.8521,0.212,,0.0783,,0.1167,,0.2805,,,,0.1609,
491,0.0886,,0.2187,,0.2849,,,,,0.3054,0.0371,0.8557,0.2225,,0.083,,0.1201,,0.2855,,,,0.1664,
492,0.0928,,0.2254,,0.2905,,,,,0.297,0.0326,0.8617,0.233,,0.0856,,0.1246,,0.2886,,,,0.1714,
493,0.0971,,0.2339,,0.2946,,,,,0.2886,0.0277,0.8604,0.243,,0.0889,,0.1299,,0.2933,,,,0.1758,
494,0.1007,,0.2452,,0.2971,,,,,0.2801,0.0248,0.8655,0.254,,0.0936,,0.1362,,0.3007,,,,0.1799,
495,0.1065,,0.2565,,0.298,,,,,0.2721,0.0217,0.8742,0.2675,,0.0975,,0.1419,,0.3067,,,,0.1834,
496,0.1115,,0.2692,,0.2979,,,,,0.2642,0.0185,0.8792,0.2798,,0.1013,,0.1496,,0.3149,,,,0.1866,
497,0.117,,0.2824,,0.2979,,,,,0.2563,0.0159,0.8804,0.2948,,0.1053,,0.1561,,0.3248,,,,0.1894,
498,0.1222,,0.2961,,0.2988,,,,,0.2484,0.0144,0.8873,0.3093,,0.1099,,0.1644,,0.3332,,,,0.1921,
499,0.1267,,0.3114,,0.3013,,,,,0.2405,0.0125,0.8952,0.3267,,0.1146,,0.1716,,0.3422,,,,0.1948,
500,0.1327,,0.3274,,0.3041,,,,,0.2333,0.0116,0.8984,0.3424,,0.1195,,0.1808,,0.355,,,,0.1976,
501,0.1372,,0.3436,,0.3083,,,,,0.2261,0.0104,0.9051,0.3619,,0.1241,,0.1894,,0.3662,,,,0.2006,
502,0.1421,,0.3607,,0.3124,,,,,0.2189,0.0095,0.9037,0.3793,,0.1288,,0.2004,,0.3794,,,,0.204,
503,0.1481,,0.3777,,0.3135,,,,,0.2116,0.0082,0.9042,0.3991,,0.1333,,0.2093,,0.3921,,,,0.2079,
504,0.1524,,0.3948,,0.3133,,,,,0.2043,0.0087,0.9037,0.4137,,0.139,,0.2218,,0.4051,,,,0.2121,
505,0.1586,,0.4127,,0.3126,,,,,0.1966,0.0072,0.8923,0.434,,0.1442,,0.234,,0.4198,,,,0.2169,
506,0.1642,,0.4289,,0.3117,,,,,0.1888,0.0069,0.891,0.4511,,0.149,,0.2449,,0.4343,,,,0.2219,
507,0.1688,,0.4448,,0.3101,,,,,0.181,0.0065,0.8719,0.4671,,0.1544,,0.2601,,0.4495,,,,0.2274,
508,0.175,,0.4593,,0.3085,,,,,0.1733,0.0062,0.8599,0.4791,,0.1613,,0.2685,,0.4635,,,,0.2331,
509,0.1801,,0.4719,,0.3082,,,,,0.166,0.0058,0.8454,0.4933,,0.1673,,0.2849,,0.4797,,,,0.2392,
510,0.1866,,0.4828,,0.3083,,,,,0.1596,0.0061,0.8278,0.4992,,0.1729,,0.2969,,0.493,,,,0.2456,
511,0.1908,,0.4913,,0.3083,,,,,0.1532,0.0055,0.8105,0.5098,,0.1813,,0.312,,0.5073,,,,0.2525,
512,0.1981,,0.4978,,0.3099,,,,,0.1467,0.0054,0.7875,0.516,,0.1877,,0.3224,,0.5216,,,,0.26,
