Wavelength,DsRed2 (EX),DsRed2 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),iRFP713 (EX),iRFP713 (EM),iRFP720 (EX),iRFP720 (EM),mOrange (EX),mOrange (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM)
377,0.0285,0,0.7029,0,0.1512,0,0,0,0,0,0.008,0,0,0,0.053,0
378,0.0285,0,0.671,0,0.1576,0,0,0,0,0,0.007,0,0,0,0.051,0
379,0.0285,0,0.6406,0,0.1666,0,0,0,0,0,0.006,0,0,0,0.049,0
380,0.0285,0,0.6164,0,0.1741,0,0,0,0,0,0.005,0,0,0,0.046,0
381,0.0285,0,0.5923,0.0264,0.1823,0,0,0,0,0,0.004,0,0,0,0.044,0
382,0.0285,0,0.5693,0.0374,0.1912,0,0,0,0,0,0.004,0,0,0,0.041,0
383,0.0285,0,0.5491,0.0485,0.2008,0,0,0,0,0,0.003,0,0,0,0.037,0
384,0.0285,0,0.5288,0.0595,0.2098,0,0,0,0,0,0.003,0,0,0,0.034,0
385,0.0285,0,0.5083,0.0781,0.2192,0,0,0,0,0,0.002,0,0,0,0.031,0
386,0.0283,0,0.4875,0.102,0.2304,0,0,0,0,0,0.002,0,0,0,0.028,0
387,0.0269,0,0.4667,0.1278,0.2412,0,0,0,0,0,0.002,0,0,0,0.025,0
388,0.0259,0,0.4375,0.1584,0.2506,0,0,0,0,0,0.002,0,0,0,0.023,0
389,0.0259,0,0.4031,0.1986,0.262,0,0,0,0,0,0.002,0,0,0,0.02,0
390,0.0259,0,0.3906,0.2439,0.273,0,0,0,0,0,0.001,0,0,0,0.018,0
391,0.0259,0,0.3781,0.2792,0.2857,0,0,0,0,0,0.001,0,0,0,0.016,0
392,0.026,0,0.3656,0.3137,0.2984,0,0,0,0,0,0.001,0,0,0,0.014,0
393,0.0247,0,0.3531,0.3552,0.311,0,0,0,0,0,0.001,0,0,0,0.013,0
394,0.0233,0,0.2886,0.3875,0.3248,0,0,0,0,0,0.001,0,0,0,0.011,0
395,0.0233,0,0.2517,0.4203,0.3392,0,0,0,0,0,0.001,0,0,0,0.01,0
396,0.0233,0,0.2148,0.4577,0.3535,0,0,0,0,0,0.002,0,0,0,0.009,0
397,0.0233,0,0.1819,0.4892,0.3695,0,0,0,0,0,0.002,0,0,0,0.008,0
