Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
111,0,Sirius,Violet,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
112,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
113,2,Sirius,Violet,A,KO,Blue,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
114,0,Sirius,Violet,A,Cerulean,Violet,B,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
115,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
116,0,KO,Yel/Grn,A,Cerulean,Violet,B,Sirius,Violet,A,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
117,0,KO,Yel/Grn,A,Sirius,Violet,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,mPlum,Yel/Grn,C,
118,0,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Cerulean,Violet,B,Sirius,Violet,A,mPlum,Yel/Grn,C,
119,0,Sirius,Violet,A,Cerulean,Violet,B,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
120,0,Sirius,Violet,A,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,mPlum,Yel/Grn,C,
121,0,Cerulean,Violet,B,Sirius,Violet,A,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
122,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
123,0,Sirius,Violet,A,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
124,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,A,mScarlet,Yel/Grn,B,
125,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
126,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,Sirius,Violet,A,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
127,2,Sirius,Violet,A,KO,Blue,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
128,0,KO,Yel/Grn,A,Sirius,Violet,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,mPlum,Yel/Grn,C,
129,0,Sirius,Violet,A,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
130,0,Sirius,Violet,A,Cerulean,Violet,B,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
131,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
132,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,Sirius,Violet,A,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
133,0,Sirius,Violet,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
134,0,Sirius,Violet,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
135,2,Sirius,Violet,A,KO,Blue,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
136,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
137,0,Sirius,Violet,A,KO,Yel/Grn,A,Cerulean,Violet,B,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
138,2,Sirius,Violet,A,KO,Blue,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
139,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
140,0,Sirius,Violet,A,Cerulean,Violet,B,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
141,0,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Sirius,Violet,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
142,0,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Sirius,Violet,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
143,0,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Cerulean,Violet,B,Sirius,Violet,A,mPlum,Yel/Grn,C,
144,0,Sirius,Violet,A,KO,Yel/Grn,A,Cerulean,Violet,B,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
145,0,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Cerulean,Violet,B,Sirius,Violet,A,mPlum,Yel/Grn,C,
146,0,Sirius,Violet,A,Cerulean,Violet,B,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
147,0,Sirius,Violet,A,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,mPlum,Yel/Grn,C,
148,0,KO,Yel/Grn,A,Sirius,Violet,A,Cerulean,Violet,B,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
149,0,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Sirius,Violet,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
150,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
151,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
152,0,KO,Yel/Grn,A,Sirius,Violet,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,mPlum,Yel/Grn,C,
153,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
154,0,KO,Yel/Grn,A,Sirius,Violet,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,mPlum,Yel/Grn,C,
155,0,KO,Yel/Grn,A,Cerulean,Violet,B,Sirius,Violet,A,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
156,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
157,0,DsRed2,Yel/Grn,B,Sirius,Violet,A,Cerulean,Violet,B,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
158,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,Sirius,Violet,A,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
159,0,Sirius,Violet,A,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,mPlum,Yel/Grn,C,
160,0,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Sirius,Violet,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
